,Accuracy,Precision,Recall,F1 Score,Support (Test Samples)
simplecnn,0.7747130692336172,0.5682120090848077,0.3939778533061727,0.4009420585992544,5402.0
customcnn,0.8045168456127361,0.6262208292965837,0.5930625810166066,0.606229592966807,5402.0
resnet18,0.815068493150685,0.6562095152672894,0.5680551357658158,0.5952374728209691,5402.0
